Conexões Internet Ativas (servidores e estabelecidas)
Proto Recv-Q Send-Q Endereço Local          Endereço Remoto         Estado      
tcp        0      0 0.0.0.0:51413           0.0.0.0:*               OUÇA      
tcp        0      0 0.0.0.0:57621           0.0.0.0:*               OUÇA      
tcp        0      0 localhost:domain        0.0.0.0:*               OUÇA      
tcp        0      0 localhost:ipp           0.0.0.0:*               OUÇA      
tcp        0      0 0.0.0.0:41723           0.0.0.0:*               OUÇA      
tcp        0      0 lauro-note:53258        ec2-34-205-245-16:https ESTABELECIDA
tcp        0      0 lauro-note:51413        cpe-200-115-213-1:63100 TIME_WAIT  
tcp        0      0 lauro-note:59196        199.244.50.75:https     ESTABELECIDA
tcp        0      0 lauro-note:33330        ec2-3-223-105-149:https ESTABELECIDA
tcp        0      0 lauro-note:56032        104.36.113.23:https     ESTABELECIDA
tcp        0      0 lauro-note:37972        139.140.244.35.bc:https ESTABELECIDA
tcp        0      0 lauro-note:55648        192.184.68.227:https    ESTABELECIDA
tcp        0      0 lauro-note:37100        ec2-52-9-111-108.:https ESTABELECIDA
tcp        0      0 lauro-note:51413        ppp005054045113.a:52775 TIME_WAIT  
tcp        0      0 lauro-note:43144        ec2-18-234-32-149:https ESTABELECIDA
tcp        0      0 lauro-note:33053        ns3100362.ip-37-5:51433 ESTABELECIDA
tcp        0      0 lauro-note:38164        pr-bh.pbp.vip.bf1:https ESTABELECIDA
tcp        0      0 lauro-note:45878        ec2-54-208-70-102:https ESTABELECIDA
tcp        0      0 lauro-note:33338        ec2-3-223-105-149:https ESTABELECIDA
tcp        0      0 lauro-note:45266        ec2-54-71-228-147:https ESTABELECIDA
tcp        0      0 lauro-note:54212        38.71.5.50:https        TIME_WAIT  
tcp        0      0 lauro-note:39474        ec2-3-90-90-62.co:https ESTABELECIDA
tcp        0      0 lauro-note:52822        104.36.115.111:https    ESTABELECIDA
tcp        0      0 lauro-note:51308        ec2-52-1-255-187.:https ESTABELECIDA
tcp        0      0 lauro-note:41060        static.20.31.4.46:https ESTABELECIDA
tcp        0      0 lauro-note:35882        ec2-34-238-134-21:https ESTABELECIDA
tcp        0      0 lauro-note:48540        151.101.94.2:https      ESTABELECIDA
tcp        0      0 lauro-note:48686        51.183.211.35.bc.:https ESTABELECIDA
tcp        0      0 lauro-note:38226        47.224.186.35.bc.:https ESTABELECIDA
tcp        0      0 lauro-note:46514        21.72.190.35.bc.g:https ESTABELECIDA
tcp        0      0 lauro-note:48430        server-99-84-27-1:https ESTABELECIDA
tcp        0      0 lauro-note:33810        63.241.108.104:https    ESTABELECIDA
tcp    13072      0 lauro-note:33971        box-327142.kphser:21000 ESTABELECIDA
tcp        0      0 lauro-note:58166        170.76.216.244:https    ESTABELECIDA
tcp        0      0 lauro-note:50240        ads44-us-east.sti:https TIME_WAIT  
tcp        0      0 lauro-note:45196        gru06s31-in-f16.1e:http ESTABELECIDA
tcp        0      0 lauro-note:35539        h-34-34.a333.priv:11383 ESTABELECIDA
tcp        0      0 lauro-note:37012        88.127.154.104.bc.:4070 ESTABELECIDA
tcp        0      0 lauro-note:33814        63.241.108.104:https    TIME_WAIT  
tcp        0      0 lauro-note:37168        64.191.16.85:https      ESTABELECIDA
tcp        0      0 lauro-note:33834        63.241.108.104:https    TIME_WAIT  
tcp        0      0 lauro-note:51944        a23-77-33-34.depl:https ESTABELECIDA
tcp        0      0 lauro-note:37192        64.191.16.85:https      ESTABELECIDA
tcp        0      0 lauro-note:51718        edge-star-mini-sh:https ESTABELECIDA
tcp        0      0 lauro-note:47874        209.205.217.82:https    ESTABELECIDA
tcp        0      0 lauro-note:57410        ec2-3-216-249-238:https ESTABELECIDA
tcp        0      0 lauro-note:38340        ec2-52-1-230-142.:https ESTABELECIDA
tcp        0      0 lauro-note:56284        104.25.58.103:https     ESTABELECIDA
tcp        0      0 lauro-note:33328        198.54.12.145:https     ESTABELECIDA
tcp        0      0 lauro-note:54048        110.113.95.34.bc.:https ESTABELECIDA
tcp        0      0 lauro-note:56038        104.36.113.23:https     TIME_WAIT  
tcp        0      0 lauro-note:39484        ec2-3-90-90-62.co:https ESTABELECIDA
tcp        0      0 lauro-note:48968        ec2-52-210-120-22:https ESTABELECIDA
tcp        0      0 lauro-note:54924        a23-52-118-36.dep:https ESTABELECIDA
tcp        0      0 lauro-note:51413        93.168.214.179:1075     TIME_WAIT  
tcp        0      0 lauro-note:38152        a23-36-76-220.dep:https ESTABELECIDA
tcp        0      0 lauro-note:45416        ec2-3-217-29-233.:https ESTABELECIDA
tcp        0      0 lauro-note:54731        172.83.40.102:39041     ESTABELECIDA
tcp        0      0 lauro-note:45874        ec2-54-208-70-102:https ESTABELECIDA
tcp        0      0 lauro-note:56170        ec2-52-45-135-166:https ESTABELECIDA
tcp        0      0 lauro-note:47012        sjc04-login.dotom:https ESTABELECIDA
tcp        0      0 lauro-note:51413        45.173.254.116.tur:7951 TIME_WAIT  
tcp        0      0 lauro-note:54916        a23-52-118-36.dep:https ESTABELECIDA
tcp        0      0 lauro-note:45886        ec2-54-208-70-102:https ESTABELECIDA
tcp        0      0 lauro-note:50884        ec2-18-211-234-56:https ESTABELECIDA
tcp        0      0 lauro-note:49174        gru14s14-in-f2.1e:https ESTABELECIDA
tcp        0    528 lauro-note:37291        m213-101-14-21.cus:5260 ESPERA_FIN1
