State    Recv-Q    Send-Q        Local Address:Port         Peer Address:Port   
UNCONN   0         0               224.0.0.251:mdns              0.0.0.0:*      
UNCONN   0         0               224.0.0.251:mdns              0.0.0.0:*      
UNCONN   0         0               224.0.0.251:mdns              0.0.0.0:*      
UNCONN   0         0                   0.0.0.0:mdns              0.0.0.0:*      
UNCONN   0         0                   0.0.0.0:52828             0.0.0.0:*      
UNCONN   0         0                   0.0.0.0:1900              0.0.0.0:*      
UNCONN   0         0                   0.0.0.0:51223             0.0.0.0:*      
UNCONN   0         0             127.0.0.53%lo:domain            0.0.0.0:*      
UNCONN   0         0                   0.0.0.0:bootpc            0.0.0.0:*      
UNCONN   75264     0                   0.0.0.0:51413             0.0.0.0:*      
UNCONN   0         0                   0.0.0.0:57621             0.0.0.0:*      
UNCONN   0         0                   0.0.0.0:57671             0.0.0.0:*      
UNCONN   0         0                   0.0.0.0:ipp               0.0.0.0:*      
UNCONN   0         0                   0.0.0.0:58249             0.0.0.0:*      
UNCONN   0         0                      [::]:mdns                 [::]:*      
UNCONN   0         0                      [::]:46405                [::]:*      
