Conexões Internet Ativas (servidores e estabelecidas)
Proto Recv-Q Send-Q Endereço Local          Endereço Remoto         Estado      
udp        0      0 224.0.0.251:mdns        0.0.0.0:*                          
udp        0      0 224.0.0.251:mdns        0.0.0.0:*                          
udp        0      0 224.0.0.251:mdns        0.0.0.0:*                          
udp        0      0 0.0.0.0:mdns            0.0.0.0:*                          
udp        0      0 lauro-note:34313        eze03s05-in-f226.1e:443 ESTABELECIDA
udp        0      0 lauro-note:50723        gru10s01-in-f14.1e1:443 ESTABELECIDA
udp        0      0 0.0.0.0:52828           0.0.0.0:*                          
udp        0      0 0.0.0.0:1900            0.0.0.0:*                          
udp        0      0 lauro-note:51170        gru14s07-in-f2.1e10:443 ESTABELECIDA
udp        0      0 0.0.0.0:51223           0.0.0.0:*                          
udp        0      0 localhost:domain        0.0.0.0:*                          
udp        0      0 0.0.0.0:bootpc          0.0.0.0:*                          
udp        0      0 lauro-note:53364        gru14s07-in-f2.1e10:443 ESTABELECIDA
udp        0   7680 0.0.0.0:51413           0.0.0.0:*                          
udp        0      0 lauro-note:35073        dlinkrouter:5351        ESTABELECIDA
udp        0      0 0.0.0.0:57621           0.0.0.0:*                          
udp        0      0 0.0.0.0:57671           0.0.0.0:*                          
udp        0      0 lauro-note:55709        eze03s15-in-f3.1e10:443 ESTABELECIDA
udp        0      0 lauro-note:39420        ham04s01-in-f227.1e:443 ESTABELECIDA
udp        0      0 0.0.0.0:ipp             0.0.0.0:*                          
udp        0      0 lauro-note:47796        gru06s29-in-f138.1e:443 ESTABELECIDA
udp        0      0 0.0.0.0:58249           0.0.0.0:*                          
udp        0      0 lauro-note:46054        eze03s15-in-f14.1e1:443 ESTABELECIDA
udp6       0      0 [::]:mdns               [::]:*                             
udp6       0      0 [::]:46405              [::]:*                             
