NetidState       Recv-Q  Send-Q    Local Address:Port        Peer Address:Port  
udp  UNCONN      0       0           224.0.0.251:mdns             0.0.0.0:*     
udp  UNCONN      0       0           224.0.0.251:mdns             0.0.0.0:*     
udp  UNCONN      0       0           224.0.0.251:mdns             0.0.0.0:*     
udp  UNCONN      0       0               0.0.0.0:mdns             0.0.0.0:*     
udp  UNCONN      0       0               0.0.0.0:52828            0.0.0.0:*     
udp  UNCONN      0       0               0.0.0.0:1900             0.0.0.0:*     
udp  UNCONN      0       0               0.0.0.0:51223            0.0.0.0:*     
udp  UNCONN      0       0         127.0.0.53%lo:domain           0.0.0.0:*     
udp  UNCONN      0       0               0.0.0.0:bootpc           0.0.0.0:*     
udp  ESTAB       0       0           172.16.0.91:43103    172.217.172.194:443   
udp  UNCONN      0       0               0.0.0.0:51413            0.0.0.0:*     
udp  ESTAB       0       0           172.16.0.91:35073         172.16.0.1:5351  
udp  UNCONN      0       0               0.0.0.0:57621            0.0.0.0:*     
udp  UNCONN      0       0               0.0.0.0:57671            0.0.0.0:*     
udp  UNCONN      0       0               0.0.0.0:ipp              0.0.0.0:*     
udp  UNCONN      0       0               0.0.0.0:58249            0.0.0.0:*     
udp  UNCONN      0       0                  [::]:mdns                [::]:*     
udp  UNCONN      0       0                  [::]:46405               [::]:*     
tcp  LISTEN      0       128             0.0.0.0:51413            0.0.0.0:*     
tcp  LISTEN      0       10              0.0.0.0:57621            0.0.0.0:*     
tcp  LISTEN      0       128       127.0.0.53%lo:domain           0.0.0.0:*     
tcp  LISTEN      0       5             127.0.0.1:ipp              0.0.0.0:*     
tcp  LISTEN      0       128             0.0.0.0:41721            0.0.0.0:*     
tcp  ESTAB       0       0           172.16.0.91:36262       23.74.182.21:https 
tcp  ESTAB       0       0           172.16.0.91:39196         192.0.77.2:https 
tcp  ESTAB       0       0           172.16.0.91:37972     35.244.140.139:https 
tcp  FIN-WAIT-1  0       170         172.16.0.91:41459       77.19.134.67:36028 
tcp  ESTAB       0       0           172.16.0.91:56150       104.20.187.5:https 
tcp  ESTAB       0       0           172.16.0.91:58266      13.33.129.217:https 
tcp  FIN-WAIT-1  0       591         172.16.0.91:50949       77.18.134.83:36034 
tcp  ESTAB       0       0           172.16.0.91:39034        192.0.78.23:https 
tcp  ESTAB       0       0           172.16.0.91:33053       37.59.62.182:51433 
tcp  TIME-WAIT   0       0           172.16.0.91:51413      109.66.106.23:65025 
tcp  ESTAB       0       0           172.16.0.91:48528     173.222.157.18:https 
tcp  TIME-WAIT   0       0           172.16.0.91:51413    200.115.213.142:54955 
tcp  ESTAB       0       0           172.16.0.91:58996      104.19.136.78:https 
tcp  ESTAB       0       0           172.16.0.91:52822     104.36.115.111:https 
tcp  ESTAB       0       0           172.16.0.91:48540       151.101.94.2:https 
tcp  ESTAB       0       0           172.16.0.91:38226      35.186.224.47:https 
tcp  ESTAB       0       0           172.16.0.91:56142       104.20.187.5:https 
tcp  ESTAB       0       0           172.16.0.91:58464     151.101.193.69:https 
tcp  TIME-WAIT   0       0           172.16.0.91:51413    186.193.243.160:24998 
tcp  ESTAB       0       0           172.16.0.91:58166     170.76.216.244:https 
tcp  FIN-WAIT-1  0       481         172.16.0.91:51951     120.23.176.199:38848 
tcp  ESTAB       0       0           172.16.0.91:53281     37.187.109.145:21000 
tcp  CLOSE-WAIT  32      0           172.16.0.91:51310      199.244.50.74:https 
tcp  ESTAB       0       0           172.16.0.91:41186      104.20.132.40:https 
tcp  ESTAB       0       0           172.16.0.91:37012     104.154.127.88:4070  
tcp  TIME-WAIT   0       0           172.16.0.91:51413         79.95.2.45:17157 
tcp  ESTAB       0       0           172.16.0.91:39703     92.243.246.148:26529 
tcp  ESTAB       0       0           172.16.0.91:51944        23.77.33.34:https 
tcp  TIME-WAIT   0       0           172.16.0.91:51413       94.21.127.44:64109 
tcp  TIME-WAIT   0       0           172.16.0.91:51413      85.253.110.83:43612 
tcp  ESTAB       0       0           172.16.0.91:54824        104.16.0.35:https 
tcp  ESTAB       0       0           172.16.0.91:39194         192.0.77.2:https 
tcp  ESTAB       0       0           172.16.0.91:39212         192.0.77.2:https 
tcp  ESTAB       0       0           172.16.0.91:41132         192.0.73.2:https 
tcp  ESTAB       0       0           172.16.0.91:57070      151.101.6.217:https 
tcp  ESTAB       0       0           172.16.0.91:54924       23.52.118.36:https 
tcp  FIN-WAIT-1  0       327         172.16.0.91:33407      77.19.133.195:36028 
tcp  ESTAB       0       0           172.16.0.91:35068      54.207.34.156:https 
tcp  ESTAB       0       0           172.16.0.91:54731      172.83.40.102:39041 
tcp  FIN-WAIT-1  0       416         172.16.0.91:36441         37.3.94.67:17586 
tcp  ESTAB       0       0           172.16.0.91:54916       23.52.118.36:https 
tcp  FIN-WAIT-1  0       485         172.16.0.91:53159       77.19.134.83:36036 
tcp  ESTAB       0       0           172.16.0.91:60048      104.18.99.194:https 
tcp  ESTAB       0       0           172.16.0.91:51413       77.125.45.70:60875 
tcp  ESTAB       0       0           172.16.0.91:54886       151.101.1.69:https 
tcp  ESTAB       0       0           172.16.0.91:42422       3.217.52.129:https 
tcp  ESTAB       0       0           172.16.0.91:51846        23.77.33.34:https 
tcp  FIN-WAIT-1  0       345         172.16.0.91:39623      197.253.66.62:6881  
tcp  ESTAB       0       0           172.16.0.91:37332    200.152.162.189:https 
tcp  ESTAB       0       0           172.16.0.91:56932      104.36.113.23:https 
tcp  ESTAB       0       0           172.16.0.91:50374       23.52.116.31:https 
tcp  ESTAB       0       0           172.16.0.91:45230    208.113.139.171:https 
tcp  ESTAB       0       0           172.16.0.91:42628      104.118.43.84:https 
tcp  ESTAB       0       0           172.16.0.91:37896      23.42.243.112:https 
tcp  ESTAB       0       0           172.16.0.91:34272     107.178.246.49:https 
tcp  FIN-WAIT-1  0       212         172.16.0.91:41945      178.50.235.99:53722 
tcp  ESTAB       0       0           172.16.0.91:60198      151.101.130.2:https 
tcp  FIN-WAIT-1  0       135         172.16.0.91:57149      12.245.223.10:50681 
tcp  TIME-WAIT   0       0           172.16.0.91:51413      181.97.190.23:54050 
tcp  ESTAB       0       0           172.16.0.91:52706        52.8.204.92:https 
tcp  ESTAB       0       0           172.16.0.91:55376    172.217.192.188:5228  
tcp  ESTAB       0       0           172.16.0.91:38716       104.16.91.60:https 
tcp  ESTAB       0       0           172.16.0.91:48532     173.222.157.18:https 
tcp  ESTAB       0       0           172.16.0.91:51850        23.77.33.34:https 
tcp  ESTAB       0       0           172.16.0.91:33126      192.132.33.46:https 
tcp  ESTAB       0       0           172.16.0.91:37264     151.101.93.253:https 
tcp  ESTAB       0       0           172.16.0.91:46954      151.101.94.49:https 
tcp  ESTAB       0       0           172.16.0.91:54886       23.74.187.64:https 
tcp  TIME-WAIT   0       0           172.16.0.91:51413      85.253.110.83:43332 
tcp  ESTAB       0       0           172.16.0.91:54904     151.101.94.217:https 
tcp  TIME-WAIT   0       0           172.16.0.91:39183     92.243.246.148:26529 
tcp  ESTAB       0       0           172.16.0.91:50112        192.0.77.32:https 
tcp  ESTAB       0       0           172.16.0.91:59336       104.244.42.8:https 
tcp  ESTAB       0       0           172.16.0.91:36448       23.52.117.90:https 
tcp  ESTAB       0       0           172.16.0.91:55499      95.211.215.25:33180 
tcp  ESTAB       0       0           172.16.0.91:60236       54.94.182.41:https 
tcp  ESTAB       0       0           172.16.0.91:52414        52.8.204.92:https 
tcp  FIN-WAIT-1  0       329         172.16.0.91:53377      197.253.66.69:6881  
tcp  ESTAB       0       0           172.16.0.91:56134     162.248.19.152:https 
tcp  ESTAB       0       0           172.16.0.91:54922       23.52.118.36:https 
tcp  ESTAB       0       0           172.16.0.91:33804      35.186.224.53:https 
tcp  ESTAB       0       0           172.16.0.91:52416        52.8.204.92:https 
tcp  TIME-WAIT   0       0           172.16.0.91:53801      116.254.77.96:51461 
tcp  ESTAB       0       0           172.16.0.91:52580        52.8.204.92:https 
tcp  CLOSE-WAIT  273     0           172.16.0.91:51312      199.244.50.74:https 
tcp  ESTAB       0       0           172.16.0.91:42576     151.101.92.166:https 
tcp  ESTAB       0       0           172.16.0.91:59910     104.27.130.137:http  
tcp  ESTAB       0       0           172.16.0.91:54836       23.52.118.36:https 
tcp  CLOSE-WAIT  32      0           172.16.0.91:36410       91.189.95.21:https 
tcp  ESTAB       0       0           172.16.0.91:51413    200.115.213.142:54625 
tcp  ESTAB       0       0           172.16.0.91:35220      35.186.224.53:https 
tcp  FIN-WAIT-1  0       306         172.16.0.91:55307      213.101.14.21:5260  
tcp  TIME-WAIT   0       0           172.16.0.91:51413      85.193.198.62:2330  
tcp  ESTAB       0       0           172.16.0.91:44640     104.19.198.151:https 
tcp  FIN-WAIT-1  0       292         172.16.0.91:58099       77.19.134.67:36028 
tcp  ESTAB       0       0           172.16.0.91:37898      23.42.243.112:https 
tcp  TIME-WAIT   0       0           172.16.0.91:51413      84.211.124.89:55797 
tcp  ESTAB       0       0           172.16.0.91:40362       104.26.11.25:https 
tcp  ESTAB       0       0           172.16.0.91:39214         192.0.77.2:https 
tcp  TIME-WAIT   0       0           172.16.0.91:51413     179.177.51.141:49703 
tcp  ESTAB       0       0           172.16.0.91:42982     185.167.164.51:https 
tcp  ESTAB       0       0           172.16.0.91:56742        23.5.34.110:https 
tcp  ESTAB       0       0           172.16.0.91:47048      151.101.94.49:https 
tcp  TIME-WAIT   0       0           172.16.0.91:45968       38.140.99.21:https 
tcp  ESTAB       0       0           172.16.0.91:59914      18.228.99.199:https 
tcp  ESTAB       0       369         172.16.0.91:60993         37.3.94.67:17586 
tcp  ESTAB       0       0           172.16.0.91:45240    208.113.139.171:https 
tcp  TIME-WAIT   0       0           172.16.0.91:51413       46.73.190.72:30110 
tcp  ESTAB       0       0           172.16.0.91:54494       99.84.31.163:https 
tcp  LISTEN      0       128                [::]:51413               [::]:*     
tcp  LISTEN      0       5                 [::1]:ipp                 [::]:*     
